Civic Offices Main Gas Meter,,m^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Values,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
29/03/2011,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,1,0,0,0,7,2,11,6,6,5,6,6,3,1,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/03/2011,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,1,0,0,0,7,2,11,6,6,5,6,6,3,1,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2011,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10,6,5,5,5,5,5,5,6,5,6,5,6,6,6,6,6,5,6,6,6,6,5,6,5,5,5,5,4,5,4,4,4,4,4,3,3,4,3,3,4,3,2,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/11,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10,5,5,4,4,4,4,4,4,3,3,4,3,4,3,3,2,2,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2/4/11,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/11,96,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/11,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0
5/4/11,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,11,11,13,7,11,5,10,10,9,3,3,7,4,3,6,6,3,3,2,0,2,2,0,3,3,0,2,2,0,0,3,2,0,3,3,0,2,2,0
6/4/11,96,2,2,2,2,2,0,2,2,0,3,2,0,0,2,2,0,3,0,2,2,2,1,26,27,12,8,37,37,23,20,18,18,18,16,19,13,13,13,15,11,14,11,11,13,11,12,12,11,11,10,12,12,9,13,8,10,8,9,9,7,8,9,9,7,9,5,6,6,4,6,5,5,6,0,2,2,0,3,2,0,2,2,3,3,3,2,0,2,2,0,4,2,2,2,2,0
7/4/11,96,0,2,1,1,2,2,2,0,2,2,1,2,2,2,0,2,3,1,3,3,2,26,37,13,13,13,13,26,19,19,18,19,18,16,17,17,17,10,nan,nan,nan,nan,14,16,13,11,15,12,11,14,15,18,12,14,10,5,9,6,6,8,6,6,8,5,5,3,5,2,6,2,3,4,2,5,3,8,2,5,0,2,3,0,3,2,2,0,2,3,1,1,2,2,4,0,2,2
8/4/11,96,3,0,2,2,2,1,3,2,2,2,0,3,3,2,0,3,2,2,2,2,1,3,2,29,36,19,21,18,19,17,15,17,20,19,8,12,7,10,7,9,9,6,8,9,6,9,8,7,9,7,7,8,6,7,9,7,7,6,7,8,5,10,7,8,10,4,7,2,6,4,6,4,8,7,6,6,6,3,3,0,2,2,0,2,3,2,0,3,3,2,0,2,2,3,1,1
9/4/11,96,3,3,2,0,2,2,3,2,1,1,2,4,2,0,2,3,2,2,0,2,4,2,0,2,2,3,2,1,2,3,2,0,3,3,2,2,2,3,3,2,2,3,2,2,4,1,1,2,2,2,3,2,3,1,1,3,2,2,2,3,3,2,1,1,2,3,2,2,3,3,2,2,2,1,1,3,3,2,1,1,3,2,0,2,2,1,3,2,2,0,2,3,2,0,2,2
10/4/11,96,0,4,2,0,2,2,2,0,4,2,0,2,3,1,1,3,2,0,3,2,1,1,2,4,0,2,2,0,2,3,3,0,2,3,2,2,2,2,3,1,1,2,4,2,2,2,1,1,3,2,3,2,3,1,1,2,2,2,4,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,0,3,2,0,2,2,2,1,3,2,0,2,2,0,3,2,2,1
11/4/11,96,2,3,0,2,2,2,0,3,3,1,1,2,3,0,2,2,2,8,51,17,15,8,10,9,8,13,39,37,24,19,18,20,18,14,17,17,15,13,13,14,14,15,10,16,14,12,12,13,11,14,15,14,10,10,10,10,19,17,8,13,7,12,14,16,17,13,5,7,6,8,6,6,8,11,6,8,5,5,4,2,2,2,3,2,1,2,2,3,2,1,2,3,2,2,2,3
12/4/11,96,2,1,2,3,2,2,3,1,2,2,3,2,2,1,3,2,2,4,2,1,2,3,47,21,16,16,38,44,25,27,26,22,21,22,22,23,17,16,16,20,15,11,16,14,12,14,14,9,13,15,17,19,15,12,10,12,10,12,11,12,11,13,12,11,11,10,12,6,18,8,4,5,4,5,7,8,7,4,4,0,3,2,1,1,3,2,1,1,2,3,3,0,2,3,2,2
13/04/2011,96,2,0,3,3,2,3,0,2,2,2,4,0,2,2,2,3,2,2,1,3,2,2,29,33,19,17,44,34,23,26,22,20,19,23,20,19,19,14,19,14,13,18,15,11,15,16,11,14,15,14,12,16,13,11,14,11,9,13,9,10,14,9,10,12,8,8,6,5,5,5,4,2,3,5,7,10,10,3,2,2,1,2,3,0,2,3,2,0,2,3,3,1,1,2,3,0
14/04/2011,96,3,2,2,2,0,3,3,2,1,1,3,2,2,0,4,2,2,0,2,2,3,1,2,28,34,21,35,36,19,18,20,15,15,18,20,17,9,12,15,13,13,14,13,12,14,11,11,15,10,10,14,12,18,11,9,10,9,6,12,9,8,10,9,7,9,7,7,6,6,8,5,8,7,8,8,4,8,2,2,4,2,2,1,2,3,1,3,2,3,2,2,2,2,4,2,2
15/04/2011,96,3,2,3,2,3,2,2,3,3,2,2,2,3,3,2,2,3,2,2,4,2,2,2,27,35,20,22,21,17,18,17,13,15,7,12,10,12,11,11,10,11,9,8,11,9,7,9,7,7,9,6,8,7,7,8,5,7,8,4,8,5,7,6,7,5,5,4,3,5,2,8,2,2,8,3,5,8,0,5,0,2,3,2,2,2,4,2,2,2,3,3,2,2,3,2,3
16/04/2011,96,2,3,2,2,2,4,2,2,2,3,2,1,2,2,3,2,2,4,2,2,2,3,3,2,2,3,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17/04/2011,96,0,23,13,6,5,5,3,2,2,4,4,2,3,3,2,3,2,3,4,3,2,3,3,2,3,2,2,4,2,3,4,2,3,3,2,2,2,4,2,2,3,2,3,2,3,2,2,2,4,2,2,3,3,1,2,3,1,2,2,4,2,2,2,2,4,2,2,3,2,2,3,3,2,2,2,3,3,2,2,3,2,2,4,2,2,2,3,2,3,3,2,2,2,3,3,2
18/04/2011,96,2,3,2,2,4,2,2,2,3,3,2,2,3,2,43,47,24,18,16,18,18,14,15,13,18,14,39,43,26,20,22,23,19,15,18,19,17,17,20,18,16,19,16,17,19,12,14,13,10,13,15,8,12,13,10,10,13,9,10,10,9,11,7,9,8,9,5,4,3,6,2,9,6,7,6,5,6,3,3,2,2,2,4,2,2,2,4,2,2,2,2,3,3,2,2,3
19/04/2011,96,2,2,4,2,2,2,2,3,3,2,2,3,2,2,4,2,2,2,2,4,2,2,3,22,39,21,44,37,26,22,22,20,17,14,19,15,13,15,9,10,13,10,8,12,8,13,8,12,8,10,10,10,10,9,9,10,8,10,10,7,10,8,11,7,9,8,4,4,6,2,5,3,7,3,7,5,5,2,3,2,3,2,2,2,4,2,2,2,3,2,3,2,3,2,2,2
20/04/2011,96,1,3,2,2,2,3,3,2,3,2,2,3,3,2,2,2,3,3,2,2,3,2,3,46,26,21,37,34,24,18,17,18,16,17,15,15,12,12,12,10,9,11,8,13,8,10,9,8,10,9,7,12,6,10,8,8,11,7,12,6,8,9,9,9,9,5,8,2,4,4,2,3,5,8,4,7,3,0,4,2,2,2,2,4,2,2,2,3,2,3,2,3,2,2,2,3
21/04/2011,96,3,2,2,3,2,2,1,2,3,2,2,2,2,4,2,2,2,3,2,3,3,2,2,3,3,26,51,39,20,19,14,20,14,10,11,14,10,10,15,7,10,9,10,11,8,12,8,12,7,9,10,9,8,9,5,5,5,7,3,7,3,4,2,6,2,3,5,2,1,1,2,3,2,2,4,4,4,0,2,0,0,3,0,0,2,0,0,2,0,3,0,0,2,0,0,3
22/04/2011,96,0,0,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,25,36,17,10,9,5,7,6,7,7,6,4,5,5,4,5,3,2,5,2,2,4,4,2,5,9,4,3,3,4,2,6,2,2,5,3,2,4,3,3,4,2,3,0,2,2,2,0,2,2,3,0,0,0,0,0,2,0,0,2,0,0,3,0,0,1,1,0,0,3,0
23/04/2011,96,0,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,2,0,0,4,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0,2,0,0,2,0
24/04/2011,96,0,2,0,0,3,0,0,2,0,1,1,0,1,1,0,4,0,0,2,0,0,2,0,0,2,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,1,1,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,1,1,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,2,0,0,2
25/04/2011,96,0,0,2,0,0,3,0,0,2,0,2,0,0,4,0,0,39,40,18,15,10,11,6,11,9,11,39,34,25,20,15,16,16,15,14,17,16,13,14,11,14,14,10,14,12,10,13,11,11,15,10,10,13,12,13,10,15,12,8,11,11,9,13,9,11,11,4,7,5,2,7,3,3,2,2,5,4,2,0,3,0,0,2,0,0,2,0,0,2,0,0,4,0,0,2,0
26/04/2011,96,1,1,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,34,25,20,17,38,26,22,24,20,19,21,18,14,18,19,12,13,11,11,13,8,14,13,11,9,10,9,9,8,7,11,9,7,10,8,8,7,6,12,10,8,14,9,8,3,4,5,2,2,8,3,2,4,3,2,3,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0
27/04/2011,96,0,2,0,0,2,0,0,2,0,3,0,0,2,0,0,2,0,0,2,0,3,0,7,41,23,17,39,34,22,22,18,19,14,13,13,11,12,12,10,10,10,10,8,11,6,9,10,6,8,9,8,8,8,8,6,10,8,6,8,7,8,9,8,8,10,7,5,5,4,4,3,3,3,4,5,3,4,3,0,1,2,0,0,2,0,2,0,0,3,0,0,2,0,0,2,0
28/04/2011,96,0,3,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,1,1,0,40,28,17,36,26,20,18,15,19,12,9,14,9,11,12,9,10,9,8,10,9,9,8,9,9,10,6,7,10,7,7,5,5,2,3,4,6,2,4,5,2,8,2,2,2,3,4,2,3,3,2,2,7,2,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,1,0,1
29/04/2011,96,1,0,2,0,0,1,2,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,1,32,32,15,19,19,10,10,13,6,10,10,7,9,8,11,4,6,6,6,5,2,5,5,4,6,5,4,7,5,3,5,2,4,5,3,2,2,5,5,3,4,4,3,3,2,2,3,2,2,2,2,3,2,2,6,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0
30/04/2011,96,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,2,0,1,1,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,2
1/5/11,96,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,4,0,1,1,0,0,2,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,1,2,0,1,1,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,3
2/5/11,96,0,1,1,0,3,0,0,2,0,0,3,0,0,2,0,13,51,24,18,16,11,9,9,10,8,11,38,38,22,21,20,17,15,19,12,16,12,12,11,15,10,9,14,12,8,16,10,9,9,12,7,7,8,11,8,11,6,11,6,8,9,9,6,11,6,10,4,5,4,2,4,2,2,2,3,5,3,5,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,2
